date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
10:11:38	2733/2733	---MCZ	200	added ('OK')	text/xml	date:Thu,%2012%20Sep%202024%2008:11:39%20GMT	https://www.afci-formation.fr/wp-json/oembed/1.0/embed?url=https%3A%2F%2Fwww.afci-formation.fr%2Fauxiliaire-ambulancier%2F&format=xml	C:/Users/Cisco/Bureau/Bureau/aspirationSiteWeb/Afci/www.afci-formation.fr/wp-json/oembed/1.0/embede5ce	(from https://www.afci-formation.fr/auxiliaire-ambulancier/)
10:11:39	2459/2459	---MC-	200	added ('OK')	application/json	date:Thu,%2012%20Sep%202024%2008:11:40%20GMT	https://www.afci-formation.fr/wp-json/oembed/1.0/embed?url=https%3A%2F%2Fwww.afci-formation.fr%2Fash%2F	C:/Users/Cisco/Bureau/Bureau/aspirationSiteWeb/Afci/www.afci-formation.fr/wp-json/oembed/1.0/embed3d05.json	(from https://www.afci-formation.fr/ash/)
10:11:41	2637/2637	---MCZ	200	added ('OK')	text/xml	date:Thu,%2012%20Sep%202024%2008:11:41%20GMT	https://www.afci-formation.fr/wp-json/oembed/1.0/embed?url=https%3A%2F%2Fwww.afci-formation.fr%2Fash%2F&format=xml	C:/Users/Cisco/Bureau/Bureau/aspirationSiteWeb/Afci/www.afci-formation.fr/wp-json/oembed/1.0/embed1040	(from https://www.afci-formation.fr/ash/)
10:11:41	439898/439898	---MCZ	200	added ('OK')	image/jpeg	etag:%226b65a-61fcb8cfeebe4-gzip%22	https://www.afci-formation.fr/wp-content/uploads/2024/08/programer-coding-laptop-sitting-down-desk-with-computer-screens-parsing-code-software-agency-software-developer-compiling-algorithms-with-cloud-programers-working-background-scaled.jpg	C:/Users/Cisco/Bureau/Bureau/aspirationSiteWeb/Afci/www.afci-formation.fr/wp-content/uploads/2024/08/programer-coding-laptop-sitting-down-desk-with-computer-screens-parsing-code-software-agency-software-developer-compiling-algorithms-wi	(from https://www.afci-formation.fr/dwwm/)
10:11:42	2572/2572	---MC-	200	added ('OK')	application/json	date:Thu,%2012%20Sep%202024%2008:11:43%20GMT	https://www.afci-formation.fr/wp-json/oembed/1.0/embed?url=https%3A%2F%2Fwww.afci-formation.fr%2Fdwwm%2F	C:/Users/Cisco/Bureau/Bureau/aspirationSiteWeb/Afci/www.afci-formation.fr/wp-json/oembed/1.0/embeda9a0.json	(from https://www.afci-formation.fr/dwwm/)
10:11:43	2742/2742	---MCZ	200	added ('OK')	text/xml	date:Thu,%2012%20Sep%202024%2008:11:44%20GMT	https://www.afci-formation.fr/wp-json/oembed/1.0/embed?url=https%3A%2F%2Fwww.afci-formation.fr%2Fdwwm%2F&format=xml	C:/Users/Cisco/Bureau/Bureau/aspirationSiteWeb/Afci/www.afci-formation.fr/wp-json/oembed/1.0/embed3f92	(from https://www.afci-formation.fr/dwwm/)
10:11:45	2567/2567	---MC-	200	added ('OK')	application/json	date:Thu,%2012%20Sep%202024%2008:11:46%20GMT	https://www.afci-formation.fr/wp-json/oembed/1.0/embed?url=https%3A%2F%2Fwww.afci-formation.fr%2Fanglais_visee_professionnelle%2F	C:/Users/Cisco/Bureau/Bureau/aspirationSiteWeb/Afci/www.afci-formation.fr/wp-json/oembed/1.0/embed16dc.json	(from https://www.afci-formation.fr/anglais_visee_professionnelle/)
10:11:46	2741/2741	---MCZ	200	added ('OK')	text/xml	date:Thu,%2012%20Sep%202024%2008:11:47%20GMT	https://www.afci-formation.fr/wp-json/oembed/1.0/embed?url=https%3A%2F%2Fwww.afci-formation.fr%2Fanglais_visee_professionnelle%2F&format=xml	C:/Users/Cisco/Bureau/Bureau/aspirationSiteWeb/Afci/www.afci-formation.fr/wp-json/oembed/1.0/embed9bea	(from https://www.afci-formation.fr/anglais_visee_professionnelle/)
10:11:48	2650/2650	---MC-	200	added ('OK')	application/json	date:Thu,%2012%20Sep%202024%2008:11:48%20GMT	https://www.afci-formation.fr/wp-json/oembed/1.0/embed?url=https%3A%2F%2Fwww.afci-formation.fr%2Felementor-28925%2F	C:/Users/Cisco/Bureau/Bureau/aspirationSiteWeb/Afci/www.afci-formation.fr/wp-json/oembed/1.0/embed95f8.json	(from https://www.afci-formation.fr/elementor-28925/)
10:11:50	2818/2818	---MCZ	200	added ('OK')	text/xml	date:Thu,%2012%20Sep%202024%2008:11:50%20GMT	https://www.afci-formation.fr/wp-json/oembed/1.0/embed?url=https%3A%2F%2Fwww.afci-formation.fr%2Felementor-28925%2F&format=xml	C:/Users/Cisco/Bureau/Bureau/aspirationSiteWeb/Afci/www.afci-formation.fr/wp-json/oembed/1.0/embed86ab	(from https://www.afci-formation.fr/elementor-28925/)
